No,Year,Month,Day,Minutes,Seconds,Largest Magnitude
1,2023,4,30,1,27.7,4.3
2,2023,4,30,2,53.5,3.5
3,2023,4,30,51,22.2,3.5
4,2023,4,29,48,32.9,4.0
5,2023,4,29,58,29.2,3.7
6,2023,4,29,57,57.0,3.7
7,2023,4,29,36,52.1,3.8
8,2023,4,29,10,33.3,3.5
9,2023,4,29,55,46.0,4.9
10,2023,4,28,20,4.5,3.6
11,2023,4,28,19,34.7,3.7
12,2023,4,28,25,15.3,3.7
13,2023,4,28,15,43.4,4.2
14,2023,4,28,46,59.7,3.6
15,2023,4,27,33,44.8,4.2
16,2023,4,26,0,35.2,5.0
17,2023,4,26,32,49.1,3.9
18,2023,4,26,31,3.8,4.5
19,2023,4,26,48,30.4,4.1
20,2023,4,25,14,6.8,4.0
21,2023,4,25,48,10.5,4.0
22,2023,4,25,3,3.4,3.7
23,2023,4,25,27,35.0,3.5
24,2023,4,25,2,13.3,3.6
25,2023,4,24,51,17.7,3.8
26,2023,4,24,6,55.5,3.8
27,2023,4,23,43,26.5,3.8
28,2023,4,23,42,0.2,3.7
29,2023,4,23,40,6.1,4.1
30,2023,4,22,2,1.9,3.5
31,2023,4,22,38,18.7,4.0
32,2023,4,22,35,1.4,3.6
33,2023,4,20,6,54.6,3.5
34,2023,4,20,54,15.4,3.5
35,2023,4,19,44,7.5,4.5
36,2023,4,19,18,31.3,3.8
37,2023,4,19,57,39.1,3.7
38,2023,4,18,47,36.9,3.7
39,2023,4,18,40,11.2,3.8
40,2023,4,18,23,50.0,3.8
41,2023,4,17,28,25.8,3.9
42,2023,4,17,7,17.9,4.0
43,2023,4,16,55,55.9,4.2
44,2023,4,16,18,32.8,3.5
45,2023,4,15,51,0.9,4.1
46,2023,4,15,37,5.4,3.7
47,2023,4,15,37,20.6,4.2
48,2023,4,14,1,33.1,4.2
49,2023,4,13,30,11.9,3.6
50,2023,4,13,17,53.5,3.5
51,2023,4,13,15,9.5,3.5
52,2023,4,13,47,11.6,3.7
53,2023,4,13,26,58.3,4.3
54,2023,4,11,44,23.5,3.5
55,2023,4,11,30,48.4,4.3
56,2023,4,11,5,50.1,3.6
57,2023,4,11,41,32.3,3.8
58,2023,4,11,17,40.8,3.9
59,2023,4,11,24,19.7,3.5
60,2023,4,10,45,9.0,3.9
61,2023,4,10,38,20.8,3.8
62,2023,4,10,44,6.8,3.5
63,2023,4,9,1,32.5,3.7
64,2023,4,9,20,35.9,3.6
65,2023,4,8,40,12.4,3.5
66,2023,4,8,35,3.9,3.6
67,2023,4,8,2,23.8,3.6
68,2023,4,8,26,55.9,3.6
69,2023,4,8,0,34.6,3.5
70,2023,4,8,26,43.1,4.2
71,2023,4,7,54,17.6,3.5
72,2023,4,7,1,52.6,3.7
73,2023,4,7,29,36.5,4.5
74,2023,4,7,56,17.6,3.6
75,2023,4,6,32,15.0,3.8
76,2023,4,6,46,50.4,4.0
77,2023,4,6,57,42.9,3.8
78,2023,4,5,43,40.0,3.5
79,2023,4,5,12,19.3,3.5
80,2023,4,4,54,52.8,4.3
81,2023,4,4,19,39.4,3.9
82,2023,4,3,16,2.6,3.8
83,2023,4,3,44,14.7,4.1
84,2023,4,3,40,50.8,3.8
85,2023,4,3,52,53.5,4.3
86,2023,4,3,45,48.3,4.2
87,2023,4,2,4,47.1,4.0
88,2023,4,2,18,54.0,4.0
89,2023,4,2,32,43.6,3.8
90,2023,4,2,12,42.8,4.0
91,2023,4,1,24,39.0,4.1
92,2023,4,1,40,51.8,4.1
93,2023,4,1,34,35.8,4.0
94,2023,4,1,43,54.9,3.5
95,2023,4,1,55,0.0,3.5
96,2023,4,1,37,29.2,3.9
97,2023,3,31,56,56.6,4.6
98,2023,3,30,27,16.0,3.6
99,2023,3,30,14,1.1,3.6
100,2023,3,30,21,25.4,3.6
101,2023,3,29,44,19.5,4.3
102,2023,3,29,8,36.5,3.9
103,2023,3,29,5,54.6,4.0
104,2023,3,29,47,1.4,4.6
105,2023,3,29,36,54.2,3.8
106,2023,3,29,58,39.4,4.0
107,2023,3,29,27,11.8,3.7
108,2023,3,28,51,37.7,3.7
109,2023,3,28,0,0.6,3.7
110,2023,3,28,55,16.2,4.0
111,2023,3,28,26,5.2,3.8
112,2023,3,27,13,16.5,3.5
113,2023,3,27,35,15.0,4.7
114,2023,3,27,23,48.7,3.5
115,2023,3,26,28,12.2,3.9
116,2023,3,25,33,38.5,4.1
117,2023,3,25,4,39.1,3.5
118,2023,3,25,39,32.3,4.5
119,2023,3,24,40,15.3,3.6
120,2023,3,24,6,14.1,3.9
121,2023,3,24,51,23.5,4.1
122,2023,3,24,10,33.9,4.3
123,2023,3,24,39,52.5,4.8
124,2023,3,23,48,37.7,3.6
125,2023,3,23,14,46.9,3.5
126,2023,3,23,4,55.9,4.2
127,2023,3,23,23,47.9,3.7
128,2023,3,23,19,51.6,5.3
129,2023,3,23,43,51.2,3.7
130,2023,3,23,5,16.2,3.9
131,2023,3,23,45,20.9,4.4
